Month,count
3/21/2016,7
3/22/2016,3
3/23/2016,4
3/24/2016,4
3/25/2016,2
3/26/2016,3
3/27/2016,6
3/28/2016,15
3/29/2016,3
3/30/2016,2
3/31/2016,8
4/1/2016,4
4/2/2016,3
4/3/2016,4
4/4/2016,14
4/5/2016,8
4/6/2016,7
4/7/2016,6
4/8/2016,4
4/9/2016,17
4/10/2016,4
4/11/2016,14
4/12/2016,12
4/13/2016,13
4/14/2016,6
4/15/2016,6
4/16/2016,9
4/17/2016,15
4/18/2016,7
4/19/2016,9
4/20/2016,6
4/21/2016,8
4/22/2016,8
4/23/2016,18
4/24/2016,15
4/25/2016,8
4/26/2016,9
4/27/2016,8
4/28/2016,9
4/29/2016,2
4/30/2016,7
5/1/2016,7
5/2/2016,11
5/3/2016,10
5/4/2016,15
5/5/2016,5
5/6/2016,6
5/7/2016,13
5/8/2016,12
5/9/2016,17
5/10/2016,9
5/11/2016,13
5/12/2016,12
5/13/2016,8
5/14/2016,27
5/15/2016,12
5/16/2016,13
5/17/2016,10
5/18/2016,22
5/19/2016,11
5/20/2016,9
5/21/2016,22
5/22/2016,9
5/23/2016,15
5/24/2016,6
5/25/2016,18
5/26/2016,11
5/27/2016,5
5/28/2016,19
5/29/2016,13
5/30/2016,9
5/31/2016,19
6/1/2016,11
6/2/2016,7
6/3/2016,9
6/4/2016,4
6/5/2016,11
6/6/2016,4
6/7/2016,8
6/8/2016,18
6/9/2016,9
6/10/2016,3
6/11/2016,17
6/12/2016,15
6/13/2016,12
6/14/2016,22
6/15/2016,12
6/16/2016,11
6/17/2016,6
6/18/2016,15
6/19/2016,18
6/20/2016,17
6/21/2016,13
6/22/2016,14
6/23/2016,7
6/24/2016,8
6/25/2016,19
6/26/2016,17
6/27/2016,12
6/28/2016,17
6/29/2016,27
6/30/2016,15
7/1/2016,12
7/2/2016,17
7/3/2016,15
7/4/2016,21
7/5/2016,10
7/6/2016,6
7/7/2016,10
7/8/2016,9
7/9/2016,25
7/10/2016,10
7/11/2016,19
7/12/2016,25
7/13/2016,22
7/14/2016,19
7/15/2016,11
7/16/2016,11
7/17/2016,16
7/18/2016,13
7/19/2016,15
7/20/2016,18
7/21/2016,21
7/22/2016,11
7/23/2016,22
7/24/2016,23
7/25/2016,19
7/26/2016,11
7/27/2016,17
7/28/2016,17
7/29/2016,8
7/30/2016,12
7/31/2016,14
8/1/2016,12
8/2/2016,14
8/3/2016,14
8/4/2016,11
8/5/2016,12
8/6/2016,11
8/7/2016,17
8/8/2016,13
8/9/2016,12
8/10/2016,18
8/11/2016,17
8/12/2016,9
8/13/2016,7
8/14/2016,23
8/15/2016,11
8/16/2016,13
8/17/2016,20
8/18/2016,10
8/19/2016,9
8/20/2016,8
8/21/2016,28
8/22/2016,20
8/23/2016,19
8/24/2016,22
8/25/2016,19
8/26/2016,15
8/27/2016,16
8/28/2016,24
8/29/2016,18
8/30/2016,14
8/31/2016,17
9/1/2016,8
9/2/2016,11
9/3/2016,17
9/4/2016,17
9/5/2016,15
9/6/2016,21
9/7/2016,12
9/8/2016,19
9/9/2016,7
9/10/2016,22
9/11/2016,26
9/12/2016,11
9/13/2016,25
9/14/2016,13
9/15/2016,15
9/16/2016,7
9/17/2016,15
9/18/2016,18
9/19/2016,23
9/20/2016,11
9/21/2016,24
9/22/2016,23
9/23/2016,10
9/24/2016,21
9/25/2016,19
9/26/2016,14
9/27/2016,21
9/28/2016,23
9/29/2016,17
9/30/2016,24
10/1/2016,27
10/2/2016,17
10/3/2016,19
10/4/2016,26
10/5/2016,20
10/6/2016,17
10/7/2016,12
10/8/2016,23
10/9/2016,20
10/10/2016,22
10/11/2016,14
10/12/2016,11
10/13/2016,16
10/14/2016,10
10/15/2016,22
10/16/2016,13
10/17/2016,26
10/18/2016,21
10/19/2016,22
10/20/2016,15
10/21/2016,12
10/22/2016,32
10/23/2016,13
10/24/2016,19
10/25/2016,30
10/26/2016,24
10/27/2016,20
10/28/2016,8
10/29/2016,17
10/30/2016,26
10/31/2016,25
11/1/2016,21
11/2/2016,16
11/3/2016,24
11/4/2016,15
11/5/2016,26
11/6/2016,27
11/7/2016,19
11/8/2016,26
11/9/2016,20
11/10/2016,13
11/11/2016,10
11/12/2016,25
11/13/2016,30
11/14/2016,18
11/15/2016,24
11/16/2016,23
11/17/2016,19
11/18/2016,15
11/19/2016,23
11/20/2016,14
11/21/2016,27
11/22/2016,40
11/23/2016,36
11/24/2016,19
11/25/2016,24
11/26/2016,28
11/27/2016,34
11/28/2016,24
11/29/2016,21
11/30/2016,16
12/1/2016,20
12/2/2016,14
12/3/2016,31
12/4/2016,14
12/5/2016,22
12/6/2016,15
12/7/2016,26
12/8/2016,13
12/9/2016,15
12/10/2016,29
12/11/2016,21
12/12/2016,27
12/13/2016,22
12/14/2016,23
12/15/2016,16
12/16/2016,15
12/17/2016,17
12/18/2016,26
12/19/2016,24
12/20/2016,27
12/21/2016,14
12/22/2016,28
12/23/2016,14
12/24/2016,23
12/25/2016,23
12/26/2016,31
12/27/2016,19
12/28/2016,21
12/29/2016,11
12/30/2016,19
12/31/2016,27
1/1/2017,22
1/2/2017,15
1/3/2017,21
1/4/2017,38
1/5/2017,9
1/6/2017,21
1/7/2017,20
1/8/2017,29
1/9/2017,27
1/10/2017,18
1/11/2017,26
1/12/2017,21
1/13/2017,11
1/14/2017,26
1/15/2017,17
1/16/2017,28
1/17/2017,18
1/18/2017,25
1/19/2017,31
1/20/2017,17
1/21/2017,35
1/22/2017,38
1/23/2017,29
1/24/2017,22
1/25/2017,34
1/26/2017,30
1/27/2017,10
1/28/2017,21
1/29/2017,24
1/30/2017,25
1/31/2017,17
2/1/2017,26
2/2/2017,31
2/3/2017,15
2/4/2017,35
2/5/2017,19
2/6/2017,25
2/7/2017,26
2/8/2017,26
2/9/2017,18
2/10/2017,12
2/11/2017,29
2/12/2017,27
2/13/2017,23
2/14/2017,21
2/15/2017,39
2/16/2017,24
2/17/2017,10
2/18/2017,32
2/19/2017,20
2/20/2017,35
2/21/2017,41
2/22/2017,35
2/23/2017,29
2/24/2017,22
2/25/2017,37
2/26/2017,30
2/27/2017,24
2/28/2017,32
3/1/2017,44
3/2/2017,13
3/3/2017,23
3/4/2017,40
3/5/2017,35
3/6/2017,26
3/7/2017,33
3/8/2017,24
3/9/2017,25
3/10/2017,26
3/11/2017,29
3/12/2017,26
3/13/2017,33
3/14/2017,22
3/15/2017,13
3/16/2017,11
3/17/2017,20
3/18/2017,20
3/19/2017,18
3/20/2017,11
3/21/2017,12
3/22/2017,27
3/23/2017,8
3/24/2017,22
3/25/2017,26
3/26/2017,15
3/27/2017,16
3/28/2017,13
3/29/2017,30
3/30/2017,22
3/31/2017,7
4/1/2017,12
4/2/2017,15
4/3/2017,18
4/4/2017,32
4/5/2017,31
4/6/2017,35
4/7/2017,17
4/8/2017,38
4/9/2017,32
4/10/2017,30
4/11/2017,17
4/12/2017,33
4/13/2017,22
4/14/2017,29
4/15/2017,27
4/16/2017,36
4/17/2017,32
4/18/2017,25
4/19/2017,33
4/20/2017,22
4/21/2017,19
4/22/2017,25
4/23/2017,29
4/24/2017,36
4/25/2017,32
4/26/2017,34
4/27/2017,21
4/28/2017,22
4/29/2017,39
4/30/2017,27
5/1/2017,36
5/2/2017,31
5/3/2017,33
5/4/2017,28
5/5/2017,25
5/6/2017,37
5/7/2017,26
5/8/2017,42
5/9/2017,34
5/10/2017,38
5/11/2017,19
5/12/2017,15
5/13/2017,36
5/14/2017,43
5/15/2017,39
5/16/2017,35
5/17/2017,31
5/18/2017,30
5/19/2017,25
5/20/2017,35
5/21/2017,41
5/22/2017,37
5/23/2017,26
5/24/2017,29
5/25/2017,25
5/26/2017,22
5/27/2017,37
5/28/2017,30
5/29/2017,27
5/30/2017,28
5/31/2017,29
6/1/2017,31
6/2/2017,24
6/3/2017,28
6/4/2017,15
6/5/2017,21
6/6/2017,35
6/7/2017,28
6/8/2017,25
6/9/2017,22
6/10/2017,46
6/11/2017,43
6/12/2017,41
6/13/2017,35
6/14/2017,46
6/15/2017,43
6/16/2017,35
6/17/2017,51
6/18/2017,41
6/19/2017,35
6/20/2017,33
6/21/2017,30
6/22/2017,35
6/23/2017,20
6/24/2017,35
6/25/2017,42
6/26/2017,14
6/27/2017,19
6/28/2017,39
6/29/2017,29
6/30/2017,11
7/1/2017,29
7/2/2017,34
7/3/2017,26
7/4/2017,32
7/5/2017,42
7/6/2017,19
7/7/2017,21
7/8/2017,18
7/9/2017,29
7/10/2017,29
7/11/2017,23
7/12/2017,41
7/13/2017,19
7/14/2017,18
7/15/2017,36
7/16/2017,19
7/17/2017,19
7/18/2017,36
7/19/2017,29
7/20/2017,22
7/21/2017,13
7/22/2017,36
7/23/2017,32
7/24/2017,18
7/25/2017,32
7/26/2017,25
7/27/2017,28
7/28/2017,15
7/29/2017,55
7/30/2017,24
7/31/2017,33
8/1/2017,27
8/2/2017,34
8/3/2017,26
8/4/2017,18
8/5/2017,30
8/6/2017,35
8/7/2017,24
8/8/2017,20
8/9/2017,28
8/10/2017,16
8/11/2017,24
8/12/2017,28
8/13/2017,24
8/14/2017,23
8/15/2017,27
8/16/2017,34
8/17/2017,17
8/18/2017,19
8/19/2017,37
8/20/2017,24
8/21/2017,36
8/22/2017,27
8/23/2017,33
8/24/2017,23
8/25/2017,22
8/26/2017,35
8/27/2017,26
8/28/2017,23
8/29/2017,30
8/30/2017,36
8/31/2017,19
9/1/2017,10
9/2/2017,33
9/3/2017,20
9/4/2017,37
9/5/2017,25
9/6/2017,21
9/7/2017,25
9/8/2017,13
9/9/2017,6
9/10/2017,31
9/11/2017,30
9/12/2017,35
9/13/2017,25
9/14/2017,12
9/15/2017,17
9/16/2017,36
9/17/2017,30
9/18/2017,29
9/19/2017,28
9/20/2017,27
9/21/2017,21
9/22/2017,20
9/23/2017,50
9/24/2017,38
9/25/2017,34
9/26/2017,30
9/27/2017,38
9/28/2017,19
9/29/2017,20
9/30/2017,18
10/1/2017,21
10/2/2017,57
10/3/2017,41
10/4/2017,46
10/5/2017,27
10/6/2017,27
10/7/2017,49
10/8/2017,41
10/9/2017,30
10/10/2017,32
10/11/2017,27
10/12/2017,33
10/13/2017,25
10/14/2017,44
10/15/2017,42
10/16/2017,35
10/17/2017,33
10/18/2017,40
10/19/2017,16
10/20/2017,20
10/21/2017,48
10/22/2017,46
10/23/2017,64
10/24/2017,44
10/25/2017,65
10/26/2017,27
10/27/2017,22
10/28/2017,67
10/29/2017,39
10/30/2017,39
10/31/2017,53
11/1/2017,48
11/2/2017,25
11/3/2017,28
11/4/2017,36
11/5/2017,60
11/6/2017,36
11/7/2017,50
11/8/2017,47
11/9/2017,43
11/10/2017,34
11/11/2017,58
11/12/2017,47
11/13/2017,32
11/14/2017,40
11/15/2017,53
11/16/2017,39
11/17/2017,28
11/18/2017,46
11/19/2017,33
11/20/2017,69
11/21/2017,32
11/22/2017,36
11/23/2017,32
11/24/2017,27
11/25/2017,44
11/26/2017,40
11/27/2017,28
11/28/2017,53
11/29/2017,56
11/30/2017,31
12/1/2017,21
12/2/2017,43
12/3/2017,45
12/4/2017,50
12/5/2017,44
12/6/2017,35
12/7/2017,35
12/8/2017,28
12/9/2017,52
12/10/2017,58
12/11/2017,38
12/12/2017,35
12/13/2017,44
12/14/2017,29
12/15/2017,40
12/16/2017,44
12/17/2017,44
12/18/2017,38
12/19/2017,37
12/20/2017,50
12/21/2017,27
12/22/2017,40
12/23/2017,38
12/24/2017,41
12/25/2017,57
12/26/2017,51
12/27/2017,48
12/28/2017,34
12/29/2017,27
12/30/2017,47
12/31/2017,36
1/1/2018,41
1/2/2018,48
1/3/2018,54
1/4/2018,32
1/5/2018,23
1/6/2018,43
1/7/2018,39
1/8/2018,42
1/9/2018,42
1/10/2018,40
1/11/2018,35
1/12/2018,35
1/13/2018,44
1/14/2018,55
1/15/2018,43
1/16/2018,42
1/17/2018,43
1/18/2018,47
1/19/2018,45
1/20/2018,43
1/21/2018,51
1/22/2018,43
1/23/2018,49
1/24/2018,52
1/25/2018,43
1/26/2018,23
1/27/2018,58
1/28/2018,48
1/29/2018,45
1/30/2018,58
1/31/2018,46
2/1/2018,55
2/2/2018,22
2/3/2018,61
2/4/2018,56
2/5/2018,61
2/6/2018,67
2/7/2018,58
2/8/2018,52
2/9/2018,65
2/10/2018,68
2/11/2018,48
2/12/2018,67
2/13/2018,46
2/14/2018,54
2/15/2018,46
2/16/2018,38
2/17/2018,57
2/18/2018,62
2/19/2018,56
2/20/2018,42
2/21/2018,61
2/22/2018,44
2/23/2018,40
2/24/2018,47
2/25/2018,66
2/26/2018,70
2/27/2018,61
2/28/2018,57
3/1/2018,59
3/2/2018,40
3/3/2018,59
3/4/2018,46
3/5/2018,49
3/6/2018,64
3/7/2018,48
3/8/2018,60
3/9/2018,45
3/10/2018,48
3/11/2018,49
3/12/2018,47
3/13/2018,55
3/14/2018,62
3/15/2018,38
3/16/2018,41
3/17/2018,52
3/18/2018,56
3/19/2018,35
3/20/2018,35
