Num,Log_Date,FROM,TO,count
0,1395/01/02,3,30,3
1,1395/01/02,3,49,1
2,1395/01/02,3,66,3
3,1395/01/02,3,70,9
4,1395/01/02,6,49,3
5,1395/01/02,6,70,4
6,1395/01/02,8,70,2
7,1395/01/02,10,11,6
8,1395/01/02,10,15,1
9,1395/01/02,10,30,10
10,1395/01/02,10,49,1
11,1395/01/02,10,66,1
12,1395/01/02,10,70,71
13,1395/01/02,11,15,3
14,1395/01/02,11,49,3
15,1395/01/02,11,70,14
16,1395/01/02,13,66,3
17,1395/01/02,14,70,1
18,1395/01/02,15,10,1
19,1395/01/02,15,11,2
20,1395/01/02,15,30,1
21,1395/01/02,15,49,1
22,1395/01/02,15,58,3
23,1395/01/02,15,66,4
24,1395/01/02,15,70,10
25,1395/01/02,16,70,8
26,1395/01/02,20,70,3
27,1395/01/02,22,49,1
28,1395/01/02,22,70,4
29,1395/01/02,24,30,2
30,1395/01/02,24,70,7
31,1395/01/02,30,3,2
32,1395/01/02,30,10,2
33,1395/01/02,30,15,1
34,1395/01/02,30,37,1
35,1395/01/02,30,42,2
36,1395/01/02,30,70,6
37,1395/01/02,32,70,2
38,1395/01/02,37,70,1
39,1395/01/02,39,70,2
40,1395/01/02,41,70,1
41,1395/01/02,42,70,9
42,1395/01/02,45,70,10
43,1395/01/02,47,70,2
44,1395/01/02,49,3,1
45,1395/01/02,49,10,6
46,1395/01/02,49,15,2
47,1395/01/02,49,24,1
48,1395/01/02,49,37,2
49,1395/01/02,49,66,3
50,1395/01/02,49,67,2
51,1395/01/02,49,70,44
52,1395/01/02,49,75,7
53,1395/01/02,49,76,2
54,1395/01/02,51,10,1
55,1395/01/02,53,49,1
56,1395/01/02,53,70,11
57,1395/01/02,56,10,1
58,1395/01/02,59,70,1
59,1395/01/02,61,70,2
60,1395/01/02,63,66,2
61,1395/01/02,63,70,1
62,1395/01/02,65,70,2
63,1395/01/02,66,3,1
64,1395/01/02,66,10,1
65,1395/01/02,66,15,6
66,1395/01/02,66,30,1
67,1395/01/02,66,37,2
68,1395/01/02,66,49,2
69,1395/01/02,66,58,1
70,1395/01/02,66,70,28
71,1395/01/02,66,76,2
72,1395/01/02,67,15,1
73,1395/01/02,67,30,1
74,1395/01/02,67,49,1
75,1395/01/02,67,70,26
76,1395/01/02,70,3,7
77,1395/01/02,70,6,7
78,1395/01/02,70,10,69
79,1395/01/02,70,11,11
80,1395/01/02,70,14,2
81,1395/01/02,70,15,13
82,1395/01/02,70,16,5
83,1395/01/02,70,20,2
84,1395/01/02,70,22,5
85,1395/01/02,70,24,5
86,1395/01/02,70,30,15
87,1395/01/02,70,32,2
88,1395/01/02,70,39,1
89,1395/01/02,70,42,16
90,1395/01/02,70,45,10
91,1395/01/02,70,49,48
92,1395/01/02,70,53,11
93,1395/01/02,70,56,2
94,1395/01/02,70,58,1
95,1395/01/02,70,61,1
96,1395/01/02,70,62,2
97,1395/01/02,70,63,1
98,1395/01/02,70,65,2
99,1395/01/02,70,66,25
100,1395/01/02,70,67,15
101,1395/01/02,70,72,3
102,1395/01/02,70,75,4
103,1395/01/02,70,76,4
104,1395/01/02,72,70,4
105,1395/01/02,75,49,3
106,1395/01/02,75,70,7
107,1395/01/02,76,49,5
108,1395/01/02,76,70,5
109,1395/01/02,10,30,1
110,1395/01/02,10,70,2
111,1395/01/02,11,70,1
112,1395/01/02,15,66,1
113,1395/01/02,20,70,1
114,1395/01/02,30,70,2
115,1395/01/02,32,70,2
116,1395/01/02,36,70,1
117,1395/01/02,41,70,1
118,1395/01/02,42,70,2
119,1395/01/02,53,70,1
120,1395/01/02,58,70,1
121,1395/01/02,66,70,2
122,1395/01/02,70,10,1
123,1395/01/02,70,11,1
124,1395/01/02,70,30,2
125,1395/01/02,70,42,2
126,1395/01/02,70,49,1
127,1395/01/02,70,66,2
128,1395/01/02,76,70,1
129,1395/01/02,8,70,1
130,1395/01/03,3,30,1
131,1395/01/03,3,66,1
132,1395/01/03,3,70,10
133,1395/01/03,6,70,6
134,1395/01/03,10,15,4
135,1395/01/03,10,30,3
136,1395/01/03,10,49,1
137,1395/01/03,10,51,1
138,1395/01/03,10,66,7
139,1395/01/03,10,70,48
140,1395/01/03,11,10,1
141,1395/01/03,11,15,1
142,1395/01/03,11,70,17
143,1395/01/03,14,70,3
144,1395/01/03,15,11,2
145,1395/01/03,15,42,2
146,1395/01/03,15,49,1
147,1395/01/03,15,66,5
148,1395/01/03,15,70,6
149,1395/01/03,16,70,7
150,1395/01/03,19,70,2
151,1395/01/03,20,70,1
152,1395/01/03,22,70,4
153,1395/01/03,24,49,4
154,1395/01/03,24,66,1
155,1395/01/03,24,70,5
156,1395/01/03,30,3,2
157,1395/01/03,30,10,8
158,1395/01/03,30,15,1
159,1395/01/03,30,24,2
160,1395/01/03,30,70,23
161,1395/01/03,32,70,5
162,1395/01/03,37,70,9
163,1395/01/03,39,70,4
164,1395/01/03,42,15,1
165,1395/01/03,42,49,1
166,1395/01/03,42,70,9
167,1395/01/03,45,70,10
168,1395/01/03,47,70,3
169,1395/01/03,49,10,2
170,1395/01/03,49,42,3
171,1395/01/03,49,58,1
172,1395/01/03,49,70,36
173,1395/01/03,49,75,6
174,1395/01/03,49,76,4
175,1395/01/03,53,70,17
176,1395/01/03,56,70,4
177,1395/01/03,58,66,1
178,1395/01/03,58,70,8
179,1395/01/03,61,70,2
180,1395/01/03,62,70,5
181,1395/01/03,63,15,1
182,1395/01/03,63,49,2
183,1395/01/03,63,70,2
184,1395/01/03,65,70,2
185,1395/01/03,66,3,6
186,1395/01/03,66,10,2
187,1395/01/03,66,13,1
188,1395/01/03,66,15,4
189,1395/01/03,66,30,2
190,1395/01/03,66,42,5
191,1395/01/03,66,49,1
192,1395/01/03,66,70,35
193,1395/01/03,67,30,1
194,1395/01/03,67,49,4
195,1395/01/03,67,70,22
196,1395/01/03,70,3,9
197,1395/01/03,70,6,6
198,1395/01/03,70,10,56
199,1395/01/03,70,11,17
200,1395/01/03,70,14,1
201,1395/01/03,70,15,11
202,1395/01/03,70,16,4
203,1395/01/03,70,19,3
204,1395/01/03,70,20,1
205,1395/01/03,70,22,4
206,1395/01/03,70,23,1
207,1395/01/03,70,24,9
208,1395/01/03,70,30,17
209,1395/01/03,70,32,3
210,1395/01/03,70,37,8
211,1395/01/03,70,39,3
212,1395/01/03,70,42,9
213,1395/01/03,70,45,17
214,1395/01/03,70,47,1
215,1395/01/03,70,49,41
216,1395/01/03,70,53,15
217,1395/01/03,70,56,1
218,1395/01/03,70,58,2
219,1395/01/03,70,59,1
220,1395/01/03,70,61,1
221,1395/01/03,70,62,1
222,1395/01/03,70,65,2
223,1395/01/03,70,66,31
224,1395/01/03,70,67,21
225,1395/01/03,70,72,3
226,1395/01/03,70,75,4
227,1395/01/03,70,76,4
228,1395/01/03,72,70,3
229,1395/01/03,74,70,2
230,1395/01/03,75,49,5
231,1395/01/03,75,66,4
232,1395/01/03,75,70,3
233,1395/01/03,76,70,4
234,1395/01/03,10,30,2
235,1395/01/03,10,70,4
236,1395/01/03,14,70,1
237,1395/01/03,15,70,1
238,1395/01/03,16,70,3
239,1395/01/03,45,70,1
240,1395/01/03,49,70,2
241,1395/01/03,49,75,2
242,1395/01/03,53,49,1
243,1395/01/03,66,70,4
