Num,Log_Date,FROM,TO,count
0,3/21/2016,3,30,3
1,3/21/2016,3,49,1
2,3/21/2016,3,66,3
3,3/21/2016,3,70,9
4,3/21/2016,6,49,3
5,3/21/2016,6,70,4
6,3/21/2016,8,70,2
7,3/21/2016,10,11,6
8,3/21/2016,10,15,1
9,3/21/2016,10,30,10
10,3/21/2016,10,49,1
11,3/21/2016,10,66,1
12,3/21/2016,10,70,71
13,3/21/2016,11,15,3
14,3/21/2016,11,49,3
15,3/21/2016,11,70,14
16,3/21/2016,13,66,3
17,3/21/2016,14,70,1
18,3/21/2016,15,10,1
19,3/21/2016,15,11,2
20,3/21/2016,15,30,1
21,3/21/2016,15,49,1
22,3/21/2016,15,58,3
23,3/21/2016,15,66,4
24,3/21/2016,15,70,10
25,3/21/2016,16,70,8
26,3/21/2016,20,70,3
27,3/21/2016,22,49,1
28,3/21/2016,22,70,4
29,3/21/2016,24,30,2
30,3/21/2016,24,70,7
31,3/21/2016,30,3,2
32,3/21/2016,30,10,2
33,3/21/2016,30,15,1
34,3/21/2016,30,37,1
35,3/21/2016,30,42,2
36,3/21/2016,30,70,6
37,3/21/2016,32,70,2
38,3/21/2016,37,70,1
39,3/21/2016,39,70,2
40,3/21/2016,41,70,1
41,3/21/2016,42,70,9
42,3/21/2016,45,70,10
43,3/21/2016,47,70,2
44,3/21/2016,49,3,1
45,3/21/2016,49,10,6
46,3/21/2016,49,15,2
47,3/21/2016,49,24,1
48,3/21/2016,49,37,2
49,3/21/2016,49,66,3
50,3/21/2016,49,67,2
51,3/21/2016,49,70,44
52,3/21/2016,49,75,7
53,3/21/2016,49,76,2
54,3/21/2016,51,10,1
55,3/21/2016,53,49,1
56,3/21/2016,53,70,11
57,3/21/2016,56,10,1
58,3/21/2016,59,70,1
59,3/21/2016,61,70,2
60,3/21/2016,63,66,2
61,3/21/2016,63,70,1
62,3/21/2016,65,70,2
63,3/21/2016,66,3,1
64,3/21/2016,66,10,1
65,3/21/2016,66,15,6
66,3/21/2016,66,30,1
67,3/21/2016,66,37,2
68,3/21/2016,66,49,2
69,3/21/2016,66,58,1
70,3/21/2016,66,70,28
71,3/21/2016,66,76,2
72,3/21/2016,67,15,1
73,3/21/2016,67,30,1
74,3/21/2016,67,49,1
75,3/21/2016,67,70,26
76,3/21/2016,70,3,7
77,3/21/2016,70,6,7
78,3/21/2016,70,10,69
79,3/21/2016,70,11,11
80,3/21/2016,70,14,2
81,3/21/2016,70,15,13
82,3/21/2016,70,16,5
83,3/21/2016,70,20,2
84,3/21/2016,70,22,5
85,3/21/2016,70,24,5
86,3/21/2016,70,30,15
87,3/21/2016,70,32,2
88,3/21/2016,70,39,1
89,3/21/2016,70,42,16
90,3/21/2016,70,45,10
91,3/21/2016,70,49,48
92,3/21/2016,70,53,11
93,3/21/2016,70,56,2
94,3/21/2016,70,58,1
95,3/21/2016,70,61,1
96,3/21/2016,70,62,2
97,3/21/2016,70,63,1
98,3/21/2016,70,65,2
99,3/21/2016,70,66,25
100,3/21/2016,70,67,15
101,3/21/2016,70,72,3
102,3/21/2016,70,75,4
103,3/21/2016,70,76,4
104,3/21/2016,72,70,4
105,3/21/2016,75,49,3
106,3/21/2016,75,70,7
107,3/21/2016,76,49,5
108,3/21/2016,76,70,5
109,3/21/2016,10,30,1
110,3/21/2016,10,70,2
111,3/21/2016,11,70,1
112,3/21/2016,15,66,1
113,3/21/2016,20,70,1
114,3/21/2016,30,70,2
115,3/21/2016,32,70,2
116,3/21/2016,36,70,1
117,3/21/2016,41,70,1
118,3/21/2016,42,70,2
119,3/21/2016,53,70,1
120,3/21/2016,58,70,1
121,3/21/2016,66,70,2
122,3/21/2016,70,10,1
123,3/21/2016,70,11,1
124,3/21/2016,70,30,2
125,3/21/2016,70,42,2
126,3/21/2016,70,49,1
127,3/21/2016,70,66,2
128,3/21/2016,76,70,1
129,3/21/2016,8,70,1
130,3/22/2016,3,30,1
131,3/22/2016,3,66,1
132,3/22/2016,3,70,10
133,3/22/2016,6,70,6
134,3/22/2016,10,15,4
135,3/22/2016,10,30,3
136,3/22/2016,10,49,1
137,3/22/2016,10,51,1
138,3/22/2016,10,66,7
139,3/22/2016,10,70,48
140,3/22/2016,11,10,1
141,3/22/2016,11,15,1
142,3/22/2016,11,70,17
143,3/22/2016,14,70,3
144,3/22/2016,15,11,2
145,3/22/2016,15,42,2
146,3/22/2016,15,49,1
147,3/22/2016,15,66,5
148,3/22/2016,15,70,6
149,3/22/2016,16,70,7
150,3/22/2016,19,70,2
151,3/22/2016,20,70,1
152,3/22/2016,22,70,4
153,3/22/2016,24,49,4
154,3/22/2016,24,66,1
155,3/22/2016,24,70,5
156,3/22/2016,30,3,2
157,3/22/2016,30,10,8
158,3/22/2016,30,15,1
159,3/22/2016,30,24,2
160,3/22/2016,30,70,23
161,3/22/2016,32,70,5
162,3/22/2016,37,70,9
163,3/22/2016,39,70,4
164,3/22/2016,42,15,1
165,3/22/2016,42,49,1
166,3/22/2016,42,70,9
167,3/22/2016,45,70,10
168,3/22/2016,47,70,3
169,3/22/2016,49,10,2
170,3/22/2016,49,42,3
171,3/22/2016,49,58,1
172,3/22/2016,49,70,36
173,3/22/2016,49,75,6
174,3/22/2016,49,76,4
175,3/22/2016,53,70,17
176,3/22/2016,56,70,4
177,3/22/2016,58,66,1
178,3/22/2016,58,70,8
179,3/22/2016,61,70,2
180,3/22/2016,62,70,5
181,3/22/2016,63,15,1
182,3/22/2016,63,49,2
183,3/22/2016,63,70,2
184,3/22/2016,65,70,2
185,3/22/2016,66,3,6
186,3/22/2016,66,10,2
187,3/22/2016,66,13,1
188,3/22/2016,66,15,4
189,3/22/2016,66,30,2
190,3/22/2016,66,42,5
191,3/22/2016,66,49,1
192,3/22/2016,66,70,35
193,3/22/2016,67,30,1
194,3/22/2016,67,49,4
195,3/22/2016,67,70,22
196,3/22/2016,70,3,9
197,3/22/2016,70,6,6
198,3/22/2016,70,10,56
199,3/22/2016,70,11,17
200,3/22/2016,70,14,1
201,3/22/2016,70,15,11
202,3/22/2016,70,16,4
203,3/22/2016,70,19,3
204,3/22/2016,70,20,1
205,3/22/2016,70,22,4
206,3/22/2016,70,23,1
207,3/22/2016,70,24,9
208,3/22/2016,70,30,17
209,3/22/2016,70,32,3
210,3/22/2016,70,37,8
211,3/22/2016,70,39,3
212,3/22/2016,70,42,9
213,3/22/2016,70,45,17
214,3/22/2016,70,47,1
215,3/22/2016,70,49,41
216,3/22/2016,70,53,15
217,3/22/2016,70,56,1
218,3/22/2016,70,58,2
219,3/22/2016,70,59,1
220,3/22/2016,70,61,1
221,3/22/2016,70,62,1
222,3/22/2016,70,65,2
223,3/22/2016,70,66,31
224,3/22/2016,70,67,21
225,3/22/2016,70,72,3
226,3/22/2016,70,75,4
227,3/22/2016,70,76,4
228,3/22/2016,72,70,3
229,3/22/2016,74,70,2
230,3/22/2016,75,49,5
231,3/22/2016,75,66,4
232,3/22/2016,75,70,3
233,3/22/2016,76,70,4
234,3/22/2016,10,30,2
235,3/22/2016,10,70,4
236,3/22/2016,14,70,1
237,3/22/2016,15,70,1
238,3/22/2016,16,70,3
239,3/22/2016,45,70,1
240,3/22/2016,49,70,2
241,3/22/2016,49,75,2
242,3/22/2016,53,49,1
243,3/22/2016,66,70,4
244,3/22/2016,67,70,1
245,3/22/2016,70,10,3
246,3/22/2016,70,37,1
247,3/22/2016,70,49,1
248,3/22/2016,70,59,1
249,3/22/2016,70,6,1
250,3/22/2016,70,67,3
251,3/22/2016,70,72,1
252,3/22/2016,70,75,1
253,3/22/2016,75,49,1
254,3/23/2016,3,30,3
255,3/23/2016,3,49,1
256,3/23/2016,3,66,1
257,3/23/2016,3,70,8
258,3/23/2016,6,70,3
259,3/23/2016,8,70,1
260,3/23/2016,10,11,1
261,3/23/2016,10,30,5
262,3/23/2016,10,51,2
263,3/23/2016,10,58,1
264,3/23/2016,10,66,5
265,3/23/2016,10,70,53
266,3/23/2016,11,15,2
267,3/23/2016,11,24,1
268,3/23/2016,11,49,1
269,3/23/2016,11,70,11
270,3/23/2016,14,70,2
271,3/23/2016,15,10,1
272,3/23/2016,15,30,1
273,3/23/2016,15,49,1
274,3/23/2016,15,58,3
275,3/23/2016,15,66,7
276,3/23/2016,15,70,10
277,3/23/2016,16,30,1
278,3/23/2016,16,70,12
279,3/23/2016,20,70,9
280,3/23/2016,22,70,1
281,3/23/2016,24,11,1
282,3/23/2016,24,30,2
283,3/23/2016,24,49,1
284,3/23/2016,24,70,6
285,3/23/2016,30,10,9
286,3/23/2016,30,16,2
287,3/23/2016,30,24,1
288,3/23/2016,30,49,7
289,3/23/2016,30,70,17
290,3/23/2016,30,75,1
291,3/23/2016,32,70,4
292,3/23/2016,37,66,1
293,3/23/2016,37,70,2
294,3/23/2016,39,70,3
295,3/23/2016,42,49,1
